,Product Name,OfferPrice,OrignalPrice,Discount,Ratings,Brand,Color,RamSize,Storage,Expandable Storage,Screen Size,Display,RearCamera,FrontCamera,battery,Processor
22,"realme 7 (Mist Blue, 128 GB)","₹15,499","₹20,999",26% off,4.3,realme,"(Mist Blue,",8 GB RAM,128 GB ROM,Expandable Upto 256 GB,16.51 cm,Full HD+ Display,64MP'],['16MP,5000 mAh ,MediaTek Helio G95 Processor']
23,"realme 7 (Mist Blue, 64 GB)","₹13,499","₹17,999",25% off,4.3,realme,"(Mist Blue,",6 GB RAM,64 GB ROM,Expandable Upto 256 GB,16.51 cm,Full HD+ Display,64MP'],['16MP,5000 mAh ,MediaTek Helio G95 Processor']
24,"REDMI 9i (Midnight Black, 64 GB)","₹7,999","₹9,999",20% off,4.3,REDMI,"(Midnight Black,",4 GB RAM,64 GB ROM,Expandable Upto 512 GB,16.59 cm,HD+ Display,13MP'],['5MP ,5000 mAh ,MediaTek Helio G25 Processor']
25,"REDMI 9i (Sea Blue, 64 GB)","₹7,999","₹9,999",20% off,4.3,REDMI,"(Sea Blue,",4 GB RAM,64 GB ROM,Expandable Upto 512 GB,16.59 cm,HD+ Display,13MP'],['5MP ,5000 mAh ,MediaTek Helio G25 Processor']
26,"POCO M3 (Cool Blue, 64 GB)","₹10,999","₹12,999",15% off,4.3,POCO,"(Cool Blue,",6 GB RAM,64 GB ROM,Expandable Upto 512 GB,16.59 cm,Full HD+ Display,48MP'],['8MP ,6000 mAh ,Qualcomm Snapdragon 662 Processor']
27,"REDMI 9i (Nature Green, 64 GB)","₹7,999","₹9,999",20% off,4.3,REDMI,"(Nature Green,",4 GB RAM,64 GB ROM,Expandable Upto 512 GB,16.59 cm,HD+ Display,13MP'],['5MP ,5000 mAh ,MediaTek Helio G25 Processor']
28,"realme C20 (Cool Blue, 32 GB)","₹6,799","₹7,999",15% off,4.5,realme,"(Cool Blue,",2 GB RAM,32 GB ROM,Expandable Upto 256 GB,16.51 cm,HD+ Display,8MP'],['5MP ,5000 mAh ,MediaTek Helio G35 Processor']
29,"realme C20 (Cool Grey, 32 GB)","₹6,799","₹7,999",15% off,4.5,realme,"(Cool Grey,",2 GB RAM,32 GB ROM,Expandable Upto 256 GB,16.51 cm,HD+ Display,8MP'],['5MP ,5000 mAh ,MediaTek Helio G35 Processor']
30,"POCO M3 (Power Black, 128 GB)","₹11,999","₹14,999",20% off,4.3,POCO,"(Power Black,",6 GB RAM,128 GB ROM,Expandable Upto 512 GB,16.59 cm,Full HD+ Display,48MP'],['8MP ,6000 mAh ,Qualcomm Snapdragon 662 Processor']
31,"POCO M3 (Yellow, 64 GB)","₹10,999","₹12,999",15% off,4.3,POCO,"(Yellow,",6 GB RAM,64 GB ROM,Expandable Upto 512 GB,16.59 cm,Full HD+ Display,48MP'],['8MP ,6000 mAh ,Qualcomm Snapdragon 662 Processor']
32,"realme C12 (Power Silver, 32 GB)","₹7,999","₹10,999",27% off,4.4,realme,"(Power Silver,",3 GB RAM,32 GB ROM,Expandable Upto 256 GB,16.56 cm,HD+ Display,13MP'],['5MP ,6000 mAh ,Mediatek Helio G35 Processor']
